iter	Passed	Remaining
0	137	137025
1	154	77078
2	169	56493
3	180	44911
4	188	37511
5	195	32365
6	202	28758
7	209	25929
8	215	23781
9	222	22069
10	229	20662
11	236	19487
12	243	18495
13	249	17595
14	256	16858
15	263	16235
16	270	15655
17	278	15176
18	286	14771
19	294	14453
20	304	14185
21	312	13873
22	319	13586
23	327	13336
24	336	13131
25	346	12981
26	355	12797
27	363	12608
28	371	12430
29	381	12323
30	393	12287
31	403	12210
32	414	12139
33	426	12125
34	435	12015
35	445	11919
36	453	11815
37	470	11898
38	480	11833
39	490	11783
40	503	11777
41	512	11686
42	522	11630
43	532	11574
44	540	11477
45	548	11371
46	555	11260
47	561	11139
48	568	11032
49	575	10942
50	582	10847
51	589	10750
52	596	10661
53	603	10567
54	610	10489
55	617	10410
56	624	10335
57	631	10262
58	639	10195
59	646	10126
60	653	10058
61	659	9982
62	666	9915
63	674	9859
64	681	9802
65	690	9771
66	697	9713
67	704	9657
68	711	9601
69	717	9538
70	724	9481
71	731	9430
72	739	9389
73	746	9344
74	753	9294
75	760	9245
76	766	9189
77	773	9145
78	780	9103
79	788	9063
80	794	9018
81	802	8979
82	809	8941
83	815	8893
84	822	8855
85	829	8818
86	837	8789
87	844	8751
88	851	8715
89	859	8685
90	865	8648
91	872	8611
92	879	8578
93	887	8552
94	894	8520
95	901	8488
96	908	8456
97	914	8421
98	921	8384
99	928	8354
100	935	8325
101	941	8292
102	948	8261
103	955	8227
104	961	8198
105	969	8172
106	976	8150
107	983	8126
108	990	8097
109	997	8070
110	1003	8037
111	1010	8015
112	1018	7992
113	1025	7968
114	1031	7940
115	1038	7914
116	1044	7884
117	1051	7859
118	1058	7836
119	1065	7810
120	1072	7788
121	1080	7778
122	1089	7767
123	1098	7759
124	1106	7746
125	1115	7734
126	1122	7715
127	1129	7692
128	1135	7667
129	1143	7651
130	1150	7629
131	1157	7610
132	1164	7590
133	1171	7570
134	1178	7549
135	1184	7525
136	1191	7505
137	1198	7486
138	1205	7468
139	1212	7449
140	1219	7429
141	1226	7408
142	1232	7385
143	1239	7368
144	1246	7351
145	1253	7332
146	1260	7312
147	1266	7293
148	1272	7270
149	1280	7255
150	1287	7238
151	1294	7222
152	1301	7204
153	1308	7187
154	1315	7170
155	1321	7150
156	1329	7139
157	1336	7123
158	1343	7105
159	1349	7087
160	1356	7067
161	1363	7053
162	1370	7038
163	1377	7023
164	1384	7005
165	1390	6988
166	1397	6968
167	1403	6951
168	1410	6936
169	1417	6921
170	1424	6905
171	1431	6889
172	1437	6870
173	1443	6853
174	1450	6839
175	1457	6824
176	1464	6808
177	1470	6789
178	1477	6776
179	1485	6765
180	1492	6754
181	1500	6743
182	1507	6732
183	1516	6723
184	1523	6712
185	1530	6700
186	1539	6692
187	1546	6680
188	1554	6668
189	1560	6654
190	1568	6642
191	1575	6632
192	1583	6620
193	1590	6609
194	1598	6597
195	1605	6586
196	1613	6576
197	1620	6564
198	1628	6553
199	1634	6539
200	1641	6526
201	1649	6514
202	1656	6504
203	1664	6493
204	1671	6482
205	1678	6469
206	1685	6458
207	1693	6446
208	1699	6433
209	1706	6421
210	1714	6411
211	1722	6403
212	1730	6393
213	1737	6383
214	1745	6372
215	1752	6360
216	1759	6347
217	1765	6334
218	1772	6322
219	1780	6311
220	1787	6301
221	1795	6291
222	1802	6279
223	1809	6267
224	1816	6256
225	1824	6247
226	1830	6234
227	1837	6222
228	1845	6212
229	1852	6200
230	1859	6188
231	1865	6176
232	1873	6166
233	1879	6153
234	1886	6141
235	1894	6131
236	1901	6123
237	1909	6114
238	1917	6104
239	1925	6096
240	1933	6088
241	1940	6077
242	1947	6066
243	1954	6054
244	1962	6046
245	1970	6039
246	1978	6030
247	1985	6021
248	1993	6012
249	2001	6004
250	2009	5996
251	2017	5988
252	2029	5993
253	2036	5981
254	2043	5970
255	2051	5961
256	2058	5952
257	2066	5944
258	2074	5935
259	2082	5926
260	2089	5916
261	2097	5907
262	2104	5896
263	2111	5886
264	2118	5876
265	2125	5865
266	2132	5855
267	2140	5846
268	2147	5837
269	2155	5827
